type,lib,jour,nb,code,Code,flag_url
departement,Bouches-du-Rhône,2020-03-21,727,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-22,821,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-23,1065,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-24,1279,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-25,1432,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-26,1679,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-27,1943,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-28,2171,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-29,2455,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-30,2787,NA,NA,NA
departement,Bouches-du-Rhône,2020-03-31,3129,NA,NA,NA
departement,Calvados,2020-03-18,10,NA,NA,NA
departement,Calvados,2020-03-19,12,NA,NA,NA
departement,Calvados,2020-03-20,18,NA,NA,NA
departement,Calvados,2020-03-21,26,NA,NA,NA
departement,Calvados,2020-03-22,38,NA,NA,NA
departement,Calvados,2020-03-23,76,NA,NA,NA
departement,Calvados,2020-03-24,94,NA,NA,NA
departement,Calvados,2020-03-25,136,NA,NA,NA
departement,Calvados,2020-03-26,158,NA,NA,NA
departement,Calvados,2020-03-27,196,NA,NA,NA
departement,Calvados,2020-03-28,252,NA,NA,NA
departement,Calvados,2020-03-29,286,NA,NA,NA
departement,Calvados,2020-03-30,302,NA,NA,NA
departement,Calvados,2020-03-31,320,NA,NA,NA
departement,Cantal,2020-03-18,6,NA,NA,NA
departement,Cantal,2020-03-19,8,NA,NA,NA
departement,Cantal,2020-03-20,10,NA,NA,NA
departement,Cantal,2020-03-21,12,NA,NA,NA
departement,Cantal,2020-03-22,12,NA,NA,NA
departement,Cantal,2020-03-23,14,NA,NA,NA
departement,Cantal,2020-03-24,20,NA,NA,NA
departement,Cantal,2020-03-25,24,NA,NA,NA
departement,Cantal,2020-03-26,24,NA,NA,NA
departement,Cantal,2020-03-27,26,NA,NA,NA
departement,Cantal,2020-03-28,28,NA,NA,NA
departement,Cantal,2020-03-29,28,NA,NA,NA
departement,Cantal,2020-03-30,32,NA,NA,NA
departement,Cantal,2020-03-31,38,NA,NA,NA
departement,Charente,2020-03-18,2,NA,NA,NA
departement,Charente,2020-03-19,4,NA,NA,NA
departement,Charente,2020-03-20,6,NA,NA,NA
departement,Charente,2020-03-21,12,NA,NA,NA
departement,Charente,2020-03-22,20,NA,NA,NA
departement,Charente,2020-03-23,24,NA,NA,NA
departement,Charente,2020-03-24,40,NA,NA,NA
departement,Charente,2020-03-25,51,NA,NA,NA
departement,Charente,2020-03-26,59,NA,NA,NA
departement,Charente,2020-03-31,70,NA,NA,NA
departement,Charente,2020-03-27,83,NA,NA,NA
departement,Charente,2020-03-28,87,NA,NA,NA
departement,Charente,2020-03-29,112,NA,NA,NA
departement,Charente,2020-03-30,128,NA,NA,NA
departement,Charente-Maritime,2020-03-18,18,NA,NA,NA
departement,Charente-Maritime,2020-03-19,22,NA,NA,NA
departement,Charente-Maritime,2020-03-20,28,NA,NA,NA
departement,Charente-Maritime,2020-03-21,34,NA,NA,NA
departement,Charente-Maritime,2020-03-22,42,NA,NA,NA
departement,Charente-Maritime,2020-03-23,50,NA,NA,NA
departement,Charente-Maritime,2020-03-24,76,NA,NA,NA
departement,Charente-Maritime,2020-03-25,78,NA,NA,NA
departement,Charente-Maritime,2020-03-26,124,NA,NA,NA
departement,Charente-Maritime,2020-03-27,130,NA,NA,NA
departement,Charente-Maritime,2020-03-28,154,NA,NA,NA
departement,Charente-Maritime,2020-03-29,180,NA,NA,NA
departement,Charente-Maritime,2020-03-30,226,NA,NA,NA
departement,Charente-Maritime,2020-03-31,232,NA,NA,NA
departement,Cher,2020-03-18,0,NA,NA,NA
departement,Cher,2020-03-19,0,NA,NA,NA
departement,Cher,2020-03-20,0,NA,NA,NA
